indicator,nonnull_cells
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",25
Gross value added at basic prices (GVA) (constant 2015 US$),25
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",25
"Repeaters, primary, total (% of total enrollment)",25
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",25
"People using safely managed drinking water services, rural (% of rural population)",25
Gross value added at basic prices (GVA) (constant LCU),25
Discrepancy in expenditure estimate of GDP (constant LCU),25
Asylum-seekers by country or territory of asylum,25
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",25
Researchers in R&D (per million people),24
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",24
"Net official flows from UN agencies, ILO (current US$)",24
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",24
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",24
Bank liquid reserves to bank assets ratio (%),24
"School enrollment, secondary (% net)",24
Trained teachers in lower secondary education (% of total teachers),24
"School enrollment, secondary, private (% of total secondary)",24
Trained teachers in preprimary education (% of total teachers),24
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",24
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",24
"Government expenditure per student, primary (% of GDP per capita)",23
"Net incurrence of liabilities, total (current LCU)",23
Net acquisition of financial assets (% of GDP),23
"Prevalence of severe wasting, weight for height (% of children under 5)",23
"School enrollment, secondary, female (% net)",23
Net acquisition of financial assets (current LCU),23
Claims on other sectors of the domestic economy (annual growth as % of broad money),23
"Net incurrence of liabilities, total (% of GDP)",23
"School enrollment, secondary, male (% net)",23
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",22
"Repeaters, primary, female (% of female enrollment)",22
"Progression to secondary school, female (%)",22
"Repeaters, primary, male (% of male enrollment)",22
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",22
"Progression to secondary school, male (%)",22
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",22
"Government expenditure per student, tertiary (% of GDP per capita)",21
"Trained teachers in lower secondary education, female (% of female teachers)",21
"Trained teachers in lower secondary education, male (% of male teachers)",21
"People with basic handwashing facilities including soap and water, rural (% of rural population)",20
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),20
People with basic handwashing facilities including soap and water (% of population),20
"School enrollment, primary, female (% net)",20
"School enrollment, primary, male (% net)",20
"People with basic handwashing facilities including soap and water, urban (% of urban population)",20
"Trained teachers in preprimary education, female (% of female teachers)",20
"Literacy rate, youth female (% of females ages 15-24)",19
"Adjusted net enrollment rate, primary, female (% of primary school age children)",19
Poverty headcount ratio at national poverty lines (% of population),19
"Net bilateral aid flows from DAC donors, Greece (current US$)",19
"Net capital account (BoP, current US$)",19
"Adjusted net enrollment rate, primary, male (% of primary school age children)",19
"Trained teachers in secondary education, female (% of female teachers)",18
Statistical performance indicators (SPI): Overall score (scale 0-100),18
Financial intermediary services indirectly Measured (FISIM) (current LCU),18
Technicians in R&D (per million people),18
Trained teachers in secondary education (% of total teachers),18
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),18
"Individuals using the Internet, male (% of male population)",18
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),18
"Trained teachers in secondary education, male (% of male teachers)",18
"Individuals using the Internet, female (% of female population)",18
"Prevalence of stunting, height for age, male (% of children under 5)",17
"Prevalence of stunting, height for age, female (% of children under 5)",17
"Trained teachers in preprimary education, male (% of male teachers)",17
Female share of employment in senior and middle management (%),17
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",17
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",17
"Literacy rate, youth total (% of people ages 15-24)",17
"Prevalence of wasting, weight for height, female (% of children under 5)",17
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",17
"Government expenditure per student, secondary (% of GDP per capita)",17
"Prevalence of wasting, weight for height, male (% of children under 5)",17
"Prevalence of underweight, weight for age, male (% of children under 5)",17
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",17
"Literacy rate, youth male (% of males ages 15-24)",17
"Prevalence of underweight, weight for age, female (% of children under 5)",17
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",17
Risk of impoverishing expenditure for surgical care (% of people at risk),16
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",16
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",16
International migrant stock (% of population),16
Average transaction cost of sending remittances to a specific country (%),16
Prevalence of current tobacco use (% of adults),16
Investment in water and sanitation with private participation (current US$),16
"Prevalence of overweight, weight for height, female (% of children under 5)",16
"Prevalence of severe wasting, weight for height, female (% of children under 5)",16
"Prevalence of current tobacco use, females (% of female adults)",16
"Literacy rate, adult female (% of females ages 15 and above)",16
"International migrant stock, total",16
"Prevalence of current tobacco use, males (% of male adults)",16
Prevalence of moderate or severe food insecurity in the population (%),16
"Literacy rate, adult male (% of males ages 15 and above)",16
"Literacy rate, adult total (% of people ages 15 and above)",16
"Prevalence of overweight, weight for height, male (% of children under 5)",16
"PNG, commercial banks and other creditors (NFL, current US$)",16
"Prevalence of severe wasting, weight for height, male (% of children under 5)",16
Prevalence of severe food insecurity in the population (%),16
Risk of catastrophic expenditure for surgical care (% of people at risk),16
"Net bilateral aid flows from DAC donors, Lithuania (current US$)",15
"PPG, IBRD (DOD, current US$)",15
Wholesale price index (2010 = 100),15
Public private partnerships investment in water and sanitation (current US$),15
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",15
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),14
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),14
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),14
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),14
Logistics performance index: Overall (1=low to 5=high),14
Diarrhea treatment (% of children under 5 who received ORS packet),14
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),14
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),14
Pregnant women receiving prenatal care (%),14
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",13
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",13
Arms exports (SIPRI trend indicator values),13
Proportion of population facing financial hardship due to out-of-pocket health expenditure (%),13
"Proportion of population facing impoverishing out-of-pocket health expenditure, based on the societal poverty line (%)",13
Proportion of population facing large (but non-impoverishing) out-of-pocket health expenditure (%),13
Population living in slums (% of urban population),13
"Proportion of population further impoverished due to out-of-pocket health expenditure, based on the societal poverty line (%)",12
"Cause of death, by non-communicable diseases (% of total)",12
"Lead time to export, median case (days)",12
"Cause of death, by other COVID-19 pandemic-related outcomes (% of total)",12
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12
Proportion of population pushed into poverty (based on the societal poverty line) due to out-of-pocket health expenditure (%),12
"Lead time to import, median case (days)",12
"Cause of death, by injury (% of total)",12
CPIA debt policy rating (1=low to 6=high),11
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),11
CPIA macroeconomic management rating (1=low to 6=high),11
Multidimensional poverty headcount ratio (World Bank) (% of population),11
CPIA trade rating (1=low to 6=high),11
"Borrowers from commercial banks (per 1,000 adults)",11
IDA resource allocation index (1=low to 6=high),11
CPIA quality of public administration rating (1=low to 6=high),11
CPIA fiscal policy rating (1=low to 6=high),11
CPIA property rights and rule-based governance rating (1=low to 6=high),11
Agricultural irrigated land (% of total agricultural land),11
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",11
CPIA social protection rating (1=low to 6=high),11
CPIA business regulatory environment rating (1=low to 6=high),11
CPIA efficiency of revenue mobilization rating (1=low to 6=high),11
CPIA public sector management and institutions cluster average (1=low to 6=high),11
"Net official flows from UN agencies, FAO (current US$)",11
CPIA quality of budgetary and financial management rating (1=low to 6=high),11
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),11
CPIA equity of public resource use rating (1=low to 6=high),11
CPIA structural policies cluster average (1=low to 6=high),11
CPIA gender equality rating (1=low to 6=high),11
"Depositors with commercial banks (per 1,000 adults)",11
CPIA financial sector rating (1=low to 6=high),11
CPIA economic management cluster average (1=low to 6=high),11
CPIA building human resources rating (1=low to 6=high),11
Coverage of social safety net programs in 2nd quintile (% of population),10
Coverage of social insurance programs in 2nd quintile (% of population),10
Coverage of social insurance programs in richest quintile (% of population),10
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",10
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",10
Coverage of social safety net programs in 3rd quintile (% of population),10
Coverage of social safety net programs (% of population),10
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),10
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),10
Coverage of social safety net programs in 4th quintile (% of population),10
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",10
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",10
Coverage of social insurance programs in 4th quintile (% of population),10
Coverage of social safety net programs in poorest quintile (% of population),10
Adequacy of social safety net programs (% of total welfare of beneficiary households),10
Coverage of social insurance programs (% of population),10
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",10
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",10
Adequacy of social insurance programs (% of total welfare of beneficiary households),10
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",10
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),10
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),10
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",10
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),10
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",10
Coverage of social protection and labor programs (% of population),10
"International tourism, number of departures",10
Coverage of social safety net programs in richest quintile (% of population),10
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",10
Coverage of social insurance programs in 3rd quintile (% of population),10
Coverage of social insurance programs in poorest quintile (% of population),10
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",10
"PNG, bonds (NFL, current US$)",9
Average transaction cost of sending remittances from a specific country (%),8
"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",8
"Human capital index plus (HCI+): on-the-job learning pillar score, female (scale -30–87)",8
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",8
"Human capital index plus (HCI+): health pillar score, female (scale 0–50)",8
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",8
"Human capital index plus (HCI+): health pillar score, male (scale 0–50)",8
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",8
"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)",8
"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30–87)",8
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",8
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",8
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",8
Exclusive breastfeeding (% of children under 6 months),8
"Pupil-teacher ratio, upper secondary",7
Time spent dealing with the requirements of government regulations (% of senior management time),7
Time to obtain an electrical connection (days),7
Firms with female participation in ownership (% of firms),7
"Human capital index plus (HCI+): overall score, female (scale 0–325)",7
Firms with female top manager (% of firms),7
Time required to obtain an operating license (days),7
Firms using banks to finance working capital (% of firms),7
"Human capital index plus (HCI+): overall score, total (scale 0–325)",7
Firms offering formal training (% of firms),7
"Human capital index plus (HCI+): overall score, male (scale 0–325)",7
"Human capital index plus (HCI+): education pillar score, male (scale 0–188)",7
Firms formally registered when operations started (% of firms),7
Average time to clear imports through customs (days),7
Firms using banks to finance investment (% of firms),7
"Human capital index plus (HCI+): education pillar score, total (scale 0–188)",7
Investment in ICT with private participation (current US$),7
Average time to clear exports through customs (days),7
ARI treatment (% of children under 5 taken to a health provider),7
"Human capital index plus (HCI+): education pillar score, female (scale 0–188)",7
Rural population living in areas where elevation is below 5 meters (% of total population),6
"Net bilateral aid flows from DAC donors, Iceland (current US$)",6
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),6
Urban population living in areas where elevation is below 5 meters (% of total population),6
Unmet need for contraception (% of married women ages 15-49),6
Land area where elevation is below 5 meters (% of total land area),6
Urban land area (sq. km),6
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),6
Rural land area where elevation is below 5 meters (% of total land area),6
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),6
Firms visited or required meetings with tax officials (% of firms),6
Firms competing against unregistered firms (% of firms),6
"Net official flows from UN agencies, SPRP (current US$)",6
Number of visits or required meetings with tax officials (average for affected firms),6
Value lost due to electrical outages (% of sales for affected firms),6
Coverage of unemployment benefits and ALMP in richest quintile (% of population),6
Firms with at least 10% foreign ownership,6
Rural land area (sq. km),6
Firms with a bank loan/line of credit (% of firms),6
Firms experiencing electrical outages (% of firms),6
Coverage of unemployment benefits and ALMP (% of population),6
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),6
Bribery incidence (% of firms experiencing at least one bribe payment request),6
Informal payments to public officials (% of firms),6
Urban land area where elevation is below 5 meters (sq. km),6
Firms exporting directly at least 10% of sales (% of firms),6
Rural land area where elevation is below 5 meters (sq. km),6
Urban land area where elevation is below 5 meters (% of total land area),6
Population living in areas where elevation is below 5 meters (% of total population),6
Firms expected to give gifts in meetings with tax officials (% of firms),6
Firms that are fully credit constrained (% of firms),5
Completeness of death registration with cause-of-death information (%),5
Firms that are partially credit constrained (% of firms),5
"Firms that introduced a new product/service and process, and spent on R&D",5
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),5
"Survey mean consumption or income per capita, total population (2017 PPP $ per day)",4
Net intake rate in grade 1 (% of official school-age population),4
Women who were first married by age 15 (% of women ages 20-24),4
"Bird species, threatened",4
"Net intake rate in grade 1, male (% of official school-age population)",4
"Completeness of birth registration, urban (%)",4
Completeness of birth registration (%),4
"Completeness of birth registration, rural (%)",4
"Net intake rate in grade 1, female (% of official school-age population)",4
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",4
"Fish species, threatened",4
"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)",4
"Mammal species, threatened",4
Women who were first married by age 18 (% of women ages 20-24),4
"Plant species (higher), threatened",4
Public private partnerships investment in ICT (current US$),4
Diabetes prevalence (% of population ages 20 to 79),4
Use of insecticide-treated bed nets (% of under-5 population),4
Consumption of iodized salt (% of households),3
"Children in employment, total (% of children ages 7-14)",3
Management practices index,3
"Net official flows from UN agencies, SDGFUND (current US$)",3
"Children in employment, male (% of male children ages 7-14)",3
"Net official flows from UN agencies, UNWOMEN (current US$)",3
Firms where largest owner is also the top manager (% of firms),3
"Children in employment, female (% of female children ages 7-14)",3
"Children in employment, work only (% of children in employment, ages 7-14)",3
Female headed households (% of households with a female head),3
"Children in employment, study and work (% of children in employment, ages 7-14)",3
"Net official flows from UN agencies, UNIDO (current US$)",3
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),3
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),2
Firms filling taxes electronically (% of firms),2
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",2
"Children in employment, wage workers (% of children in employment, ages 7-14)",2
"Net official flows from UN agencies, CERF (current US$)",2
"Completeness of birth registration, female (%)",2
Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),2
Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,2
Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),2
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",2
Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,2
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",2
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",2
"Completeness of birth registration, male (%)",2
Primary school age children out-of-school (%),2
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",2
WBL: Legal Framework Index (scale 0-100),2
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",2
"Specialist surgical workforce (per 100,000 population)",2
Female primary school age children out-of-school (%),2
Firms that use a third party to resolve commercial disputes (% of firms),2
WBL: Enforcement Perceptions Index (scale 0-100),2
Firms monitoring own CO2 emissions (% of firms),2
Male primary school age children out-of-school (%),2
WBL: Supportive Framework Index (scale 0-100),2
Trained teachers in upper secondary education (% of total teachers),2
"Net official flows from UN agencies, WTO-ITC (current US$)",2
Wanted fertility rate (births per woman),2
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,2
Firms adopting energy management measures to reduce emissions (% of firms),2
"Trained teachers in upper secondary education, female (% of female teachers)",2
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",2
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",2
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),2
"Trained teachers in upper secondary education, male (% of male teachers)",2
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",2
Battle-related deaths (number of people),2
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",2
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),2
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",2
"Maternal mortality ratio (national estimate, per 100,000 live births)",2
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",2
"Average working hours of children, working only, female, ages 7-14 (hours per week)",1
B-READY: International Trade: Overall Score,1
"Children in employment, work only, female (% of female children in employment, ages 7-14)",1
B-READY: Market Competition Pillar 2: Public Services that Promote Market Competition,1
B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,1
"Net bilateral aid flows from DAC donors, Estonia (current US$)",1
B-READY: Utility Services Pillar 2: Quality of Governance and Transparency of Utility Services,1
"Condom use, population ages 15-24, female (% of females ages 15-24)",1
"Community health workers (per 1,000 people)",1
Present value of external debt (% of GNI),1
B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,1
B-READY: Labor: Overall Score,1
B-READY: Business Insolvency: Overall Score,1
"Child employment in agriculture, female (% of female economically active children ages 7-14)",1
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",1
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",1
"Present value of external debt (% of exports of goods, services and primary income)",1
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",1
B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location,1
"Average working hours of children, working only, ages 7-14 (hours per week)",1
B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice,1
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),1
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",1
B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry,1
B-READY: International Trade Pillar 1: Quality of Regulations for International Trade,1
B-READY: Market Competition Pillar 3:  Implementation of Key Services Promoting Market Competition,1
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",1
B-READY: Pillar 3: Operational Efficiency,1
B-READY: Financial Services: Overall Score,1
B-READY: Pillar 2: Public Services,1
"Average working hours of children, study and work, ages 7-14 (hours per week)",1
Present value of external debt (current US$),1
"Child employment in agriculture, male (% of male economically active children ages 7-14)",1
B-READY: Market Competition Pillar 1: Quality of Regulations that Promote Market Competition,1
Disaster risk reduction progress score (1-5 scale; 5=best),1
B-READY: Taxation: Overall Score,1
"Children in employment, self-employed (% of children in employment, ages 7-14)",1
"Condom use, population ages 15-24, male (% of males ages 15-24)",1
"Average working hours of children, working only, male, ages 7-14 (hours per week)",1
B-READY: Financial Services Pillar 3: Operational Efficiency of Receiving Financial Services,1
B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,1
B-READY: Business Entry: Overall Score,1
B-READY: Business Location Pillar 2: Quality of Public Services and Transparency of Information for Business Location,1
B-READY: Financial Services Pillar 1: Quality of Regulations for Financial Services,1
B-READY: Utility Services: Overall Score,1
Child employment in services (% of economically active children ages 7-14),1
B-READY: Utility Services Pillar 1: Quality of Regulations on Utility Services,1
B-READY: Financial Services Pillar 2: Accessibility of Information in Credit Infrastructure,1
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",1
"Child employment in services, male (% of male economically active children ages 7-14)",1
B-READY: Dispute Resolution: Overall Score,1
B-READY: Business Location Pillar 1: Quality of Regulations for Business Location,1
"Child employment in services, female (% of female economically active children ages 7-14)",1
"Children in employment, work only, male (% of male children in employment, ages 7-14)",1
"B-READY: International Trade Pillar 3: Efficiency of Importing Goods, Exporting Goods, and Engaging in Digital Trade",1
Child employment in agriculture (% of economically active children ages 7-14),1
B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade,1
B-READY: Labor Pillar 1: Quality of Labor Regulations,1
B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings,1
B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,1
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",1
B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute,1
B-READY: Utility Services Pillar 3: Operational Efficiency of Utility Service Provision,1
B-READY: Taxation Pillar 2: Public Services Provided by the Tax Administration,1
B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution,1
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",1
B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry,1
B-READY: Pillar 1: Regulatory Framework,1
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",1
"Net official flows from UN agencies, UNCOVID (current US$)",1
B-READY: Taxation Pillar 1: Quality of Regulations on Taxation,1
B-READY: Taxation Pillar 3: Operational Efficiency of Tax Systems in Practice,1
B-READY: Market Competition: Overall Score,1
B-READY: Labor Pillar 2: Adequacy of Public Services for Labor,1
Multidimensional poverty headcount ratio (UNDP) (% of population),1
Child employment in manufacturing (% of economically active children ages 7-14),1
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",1
B-READY: Business Location: Overall Score,1
