Country,Year,Indicator,Value
Vietnam,2010,General government final consumption expenditure (% of GDP),10.383308245697874
Vietnam,2010,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2010,Adjusted savings: net forest depletion (% of GNI),3.0323459726144
Malaysia,2010,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),234.5038044709907
Vietnam,2010,Access to electricity (% of population),97.4
Vietnam,2010,"Agriculture, forestry, and fishing, value added (annual % growth)",0.48599040134836
Vietnam,2010,Renewable energy consumption (% of total final energy consumption),34.6
Malaysia,2010,Access to electricity (% of population),99.5
Malaysia,2010,Total greenhouse gas emissions including LULUCF (Mt CO2e),60.74850000000001
Malaysia,2010,Renewable energy consumption (% of total final energy consumption),2.0
Vietnam,2010,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2010,General government final consumption expenditure (% of GDP),12.581169028795983
Vietnam,2010,Total greenhouse gas emissions including LULUCF (Mt CO2e),253.24910000000003
Malaysia,2010,"Agriculture, forestry, and fishing, value added (annual % growth)",14.396133686284545
Vietnam,2010,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),661.907978501103
Malaysia,2010,"Annual freshwater withdrawals, total (billion cubic meters)",6.030736842
Vietnam,2011,General government final consumption expenditure (% of GDP),9.980917276184044
Vietnam,2011,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2011,Adjusted savings: net forest depletion (% of GNI),2.32274601381527
Malaysia,2011,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),238.80544888411495
Vietnam,2011,Access to electricity (% of population),99.0
Vietnam,2011,"Agriculture, forestry, and fishing, value added (annual % growth)",4.242259841374718
Vietnam,2011,Renewable energy consumption (% of total final energy consumption),36.3
Malaysia,2011,Access to electricity (% of population),99.5
Malaysia,2011,Total greenhouse gas emissions including LULUCF (Mt CO2e),10.868200000000002
Malaysia,2011,Renewable energy consumption (% of total final energy consumption),2.2
Vietnam,2011,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2011,General government final consumption expenditure (% of GDP),13.270661476550702
Vietnam,2011,Total greenhouse gas emissions including LULUCF (Mt CO2e),256.15009999999995
Malaysia,2011,"Agriculture, forestry, and fishing, value added (annual % growth)",6.84467067190721
Vietnam,2011,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),661.8229353963981
Malaysia,2011,"Annual freshwater withdrawals, total (billion cubic meters)",6.069789474
Vietnam,2012,General government final consumption expenditure (% of GDP),10.44518628972826
Vietnam,2012,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2012,Adjusted savings: net forest depletion (% of GNI),2.37469392527575
Malaysia,2012,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),241.17133002815717
Vietnam,2012,Access to electricity (% of population),97.9
Vietnam,2012,"Agriculture, forestry, and fishing, value added (annual % growth)",2.87147445949725
Vietnam,2012,Renewable energy consumption (% of total final energy consumption),37.9
Malaysia,2012,Access to electricity (% of population),99.8
Malaysia,2012,Total greenhouse gas emissions including LULUCF (Mt CO2e),33.01649999999998
Malaysia,2012,Renewable energy consumption (% of total final energy consumption),2.5
Vietnam,2012,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2012,General government final consumption expenditure (% of GDP),13.84213365841203
Vietnam,2012,Total greenhouse gas emissions including LULUCF (Mt CO2e),255.9691
Malaysia,2012,"Agriculture, forestry, and fishing, value added (annual % growth)",0.9609846850195254
Vietnam,2012,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),659.1885429929341
Malaysia,2012,"Annual freshwater withdrawals, total (billion cubic meters)",6.108842105
Vietnam,2013,General government final consumption expenditure (% of GDP),10.916166977207634
Vietnam,2013,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2013,Adjusted savings: net forest depletion (% of GNI),2.1838758948366
Malaysia,2013,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),268.1153976300831
Vietnam,2013,Access to electricity (% of population),98.5
Vietnam,2013,"Agriculture, forestry, and fishing, value added (annual % growth)",2.5312528611183467
Vietnam,2013,Renewable energy consumption (% of total final energy consumption),37.4
Malaysia,2013,Access to electricity (% of population),99.6
Malaysia,2013,Total greenhouse gas emissions including LULUCF (Mt CO2e),28.552599999999984
Malaysia,2013,Renewable energy consumption (% of total final energy consumption),2.8
Vietnam,2013,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2013,General government final consumption expenditure (% of GDP),13.715401516177868
Vietnam,2013,Total greenhouse gas emissions including LULUCF (Mt CO2e),264.5467
Malaysia,2013,"Agriculture, forestry, and fishing, value added (annual % growth)",1.9853254500147277
Vietnam,2013,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),692.8928262496476
Malaysia,2013,"Annual freshwater withdrawals, total (billion cubic meters)",6.147894737
Vietnam,2014,General government final consumption expenditure (% of GDP),10.317461754985132
Vietnam,2014,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2014,Adjusted savings: net forest depletion (% of GNI),2.5910393348203
Malaysia,2014,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),290.2100452935388
Vietnam,2014,Access to electricity (% of population),99.2
Vietnam,2014,"Agriculture, forestry, and fishing, value added (annual % growth)",3.203462636974592
Vietnam,2014,Renewable energy consumption (% of total final energy consumption),36.7
Malaysia,2014,Access to electricity (% of population),99.7
Malaysia,2014,Total greenhouse gas emissions including LULUCF (Mt CO2e),62.81220000000002
Malaysia,2014,Renewable energy consumption (% of total final energy consumption),3.0
Vietnam,2014,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2014,General government final consumption expenditure (% of GDP),13.328748069263396
Vietnam,2014,Total greenhouse gas emissions including LULUCF (Mt CO2e),280.5982
Malaysia,2014,"Agriculture, forestry, and fishing, value added (annual % growth)",2.047575647736096
Vietnam,2014,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),769.5885857574668
Malaysia,2014,"Annual freshwater withdrawals, total (billion cubic meters)",6.186947368
Vietnam,2015,General government final consumption expenditure (% of GDP),10.65491271424716
Vietnam,2015,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2015,Adjusted savings: net forest depletion (% of GNI),1.82181949290526
Malaysia,2015,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),292.4914861185703
Vietnam,2015,Access to electricity (% of population),99.3
Vietnam,2015,"Agriculture, forestry, and fishing, value added (annual % growth)",2.5070238062575783
Vietnam,2015,Renewable energy consumption (% of total final energy consumption),27.8
Malaysia,2015,Access to electricity (% of population),99.9
Malaysia,2015,Total greenhouse gas emissions including LULUCF (Mt CO2e),85.61599999999999
Malaysia,2015,Renewable energy consumption (% of total final energy consumption),3.4
Vietnam,2015,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2015,General government final consumption expenditure (% of GDP),13.086560798555858
Vietnam,2015,Total greenhouse gas emissions including LULUCF (Mt CO2e),304.135
Malaysia,2015,"Agriculture, forestry, and fishing, value added (annual % growth)",1.448655382048699
Vietnam,2015,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),875.8978122053863
Malaysia,2015,"Annual freshwater withdrawals, total (billion cubic meters)",6.226
Vietnam,2016,General government final consumption expenditure (% of GDP),10.398376666754146
Vietnam,2016,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2016,Adjusted savings: net forest depletion (% of GNI),1.65836828419237
Malaysia,2016,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),284.1477270963396
Vietnam,2016,Access to electricity (% of population),99.2
Vietnam,2016,"Agriculture, forestry, and fishing, value added (annual % growth)",1.653772745064515
Vietnam,2016,Renewable energy consumption (% of total final energy consumption),26.8
Malaysia,2016,Access to electricity (% of population),99.9
Malaysia,2016,Total greenhouse gas emissions including LULUCF (Mt CO2e),63.41550000000001
Malaysia,2016,Renewable energy consumption (% of total final energy consumption),4.4
Vietnam,2016,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2016,General government final consumption expenditure (% of GDP),12.5648977951943
Vietnam,2016,Total greenhouse gas emissions including LULUCF (Mt CO2e),324.88719999999995
Malaysia,2016,"Agriculture, forestry, and fishing, value added (annual % growth)",-3.651360052158864
Vietnam,2016,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),987.6046030187872
Malaysia,2016,"Annual freshwater withdrawals, total (billion cubic meters)",6.552
Vietnam,2017,General government final consumption expenditure (% of GDP),10.134927284089493
Vietnam,2017,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2017,Adjusted savings: net forest depletion (% of GNI),2.07385353679304
Malaysia,2017,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),269.1662449824756
Vietnam,2017,Access to electricity (% of population),100.0
Vietnam,2017,"Agriculture, forestry, and fishing, value added (annual % growth)",3.168386604949489
Vietnam,2017,Renewable energy consumption (% of total final energy consumption),28.3
Malaysia,2017,Access to electricity (% of population),100.0
Malaysia,2017,Total greenhouse gas emissions including LULUCF (Mt CO2e),37.72299999999999
Malaysia,2017,Renewable energy consumption (% of total final energy consumption),5.2
Vietnam,2017,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2017,General government final consumption expenditure (% of GDP),12.19259186944308
Vietnam,2017,Total greenhouse gas emissions including LULUCF (Mt CO2e),330.89919999999995
Malaysia,2017,"Agriculture, forestry, and fishing, value added (annual % growth)",5.885809089617197
Vietnam,2017,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1014.083624099758
Malaysia,2017,"Annual freshwater withdrawals, total (billion cubic meters)",6.707
Vietnam,2018,General government final consumption expenditure (% of GDP),9.745889133207422
Vietnam,2018,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2018,Adjusted savings: net forest depletion (% of GNI),2.04297185057948
Malaysia,2018,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),294.7038535208819
Vietnam,2018,Access to electricity (% of population),100.0
Vietnam,2018,"Agriculture, forestry, and fishing, value added (annual % growth)",4.115443621085802
Vietnam,2018,Renewable energy consumption (% of total final energy consumption),24.3
Malaysia,2018,Access to electricity (% of population),100.0
Malaysia,2018,Total greenhouse gas emissions including LULUCF (Mt CO2e),90.45919999999998
Malaysia,2018,Renewable energy consumption (% of total final energy consumption),5.3
Vietnam,2018,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2018,General government final consumption expenditure (% of GDP),11.969446295551675
Vietnam,2018,Total greenhouse gas emissions including LULUCF (Mt CO2e),388.2486
Malaysia,2018,"Agriculture, forestry, and fishing, value added (annual % growth)",0.1289343539119727
Vietnam,2018,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1270.8817269095823
Malaysia,2018,"Annual freshwater withdrawals, total (billion cubic meters)",6.707
Vietnam,2019,General government final consumption expenditure (% of GDP),9.578836368270895
Vietnam,2019,"Annual freshwater withdrawals, total (billion cubic meters)",81.862
Malaysia,2019,Adjusted savings: net forest depletion (% of GNI),1.83782212605493
Malaysia,2019,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),296.0702655213413
Vietnam,2019,Access to electricity (% of population),99.4
Vietnam,2019,"Agriculture, forestry, and fishing, value added (annual % growth)",2.667101948233011
Vietnam,2019,Renewable energy consumption (% of total final energy consumption),20.4
Malaysia,2019,Access to electricity (% of population),100.0
Malaysia,2019,Total greenhouse gas emissions including LULUCF (Mt CO2e),72.11009999999999
Malaysia,2019,Renewable energy consumption (% of total final energy consumption),5.7
Vietnam,2019,Adjusted savings: net forest depletion (% of GNI),0.0
Malaysia,2019,General government final consumption expenditure (% of GDP),11.653100184342987
Vietnam,2019,Total greenhouse gas emissions including LULUCF (Mt CO2e),445.2187
Malaysia,2019,"Agriculture, forestry, and fishing, value added (annual % growth)",1.943301649780409
Vietnam,2019,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1535.3973699812418
Malaysia,2019,"Annual freshwater withdrawals, total (billion cubic meters)",6.707
